game_date,date_time,away_name,away_abbr,away_score,away_pred_diff,away_win_prob,matchup_quality,away_game_score,home_name,home_abbr,home_score,home_pred_diff,home_win_prob,home_game_score
2017-03-14,,Kansas State,KSU,95,,,92.0,88.2,Wake Forest,WAKE,88,1.6,56.3,45.5
2017-03-14,,Mount St Mary's,MSM,67,1.2,54.9,52.6,55.0,New Orleans,UNO,66,,,36.1
2017-03-15,,USC,USC,75,,,85.9,85.0,Providence,PROV,71,2.2,58.6,45.0
2017-03-15,,North Carolina Central,NCCU,63,5.5,70.6,48.8,20.2,UC Davis,UCD,67,,,77.6
2017-03-16,,Xavier,XAV,76,1.7,56.4,90.8,87.1,Maryland,MD,65,,,45.7
2017-03-16,,Vanderbilt,VAN,66,,,90.6,51.6,Northwestern,NW,68,0.6,52.3,81.0
2017-03-16,,Middle Tennessee,MTSU,81,,,89.7,89.7,Minnesota,MINN,72,1.1,54.3,42.7
2017-03-16,,Virginia Tech,VT,74,,,82.6,53.9,Wisconsin,WIS,84,6.5,74.5,80.2
2017-03-16,,VCU,VCU,77,,,81.6,61.8,Saint Mary's,SMC,85,8.6,82.1,73.9
2017-03-16,,Nevada,NEV,73,,,81.1,54.7,Iowa State,ISU,84,7.8,76.7,80.3
2017-03-16,,Vermont,UVM,70,,,80.1,58.7,Purdue,PUR,80,10.2,83.8,76.0
2017-03-16,,Princeton,PRIN,58,,,79.5,63.8,Notre Dame,ND,60,8.2,80.3,69.5
2017-03-16,,UNC Wilmington,UNCW,71,,,78.6,66.4,Virginia,UVA,76,12.3,88.8,66.6
2017-03-16,,East Tennessee State,ETSU,65,,,75.5,60.5,Florida,FLA,80,17.3,93.1,70.8
2017-03-16,,Florida Gulf Coast,FGCU,80,,,75.3,65.0,Florida State,FSU,86,12.2,86.4,64.6
2017-03-16,,Bucknell,BUCK,80,,,74.7,70.0,West Virginia,WVU,86,18.9,94.1,59.5
2017-03-16,,Winthrop,WIN,64,,,72.3,59.7,Butler,BUT,76,12.8,87.8,66.9
2017-03-16,,North Dakota,UND,82,,,67.6,58.6,Arizona,ARIZ,100,16.7,92.9,63.2
2017-03-16,,South Dakota State,SDST,46,,,65.9,65.8,Gonzaga,GONZ,66,27.1,98.4,51.2
2017-03-16,,Mount St Mary's,MSM,56,,,65.8,67.1,Villanova,NOVA,76,26.8,98.8,47.9
2017-03-17,,Marquette,MARQ,73,1.5,55.7,92.0,37.0,South Carolina,SC,93,,,96.3
2017-03-17,,Michigan State,MSU,78,,,90.9,97.1,Miami,MIA,58,1.7,57.3,35.8
2017-03-17,,Rhode Island,URI,84,,,90.6,95.0,Creighton,CREI,72,3.1,61.7,39.6
2017-03-17,,Seton Hall,HALL,71,,,89.7,49.7,Arkansas,ARK,77,0.8,53.1,81.7
2017-03-17,,Oklahoma State,OKST,91,,,86.8,62.9,Michigan,MICH,92,4.6,67.5,73.6
2017-03-17,,Kansas State,KSU,61,,,86.1,44.4,Cincinnati,CIN,75,5.0,69.7,90.9
2017-03-17,,Wichita State,WICH,64,6.7,73.0,84.9,77.6,Dayton,DAY,58,,,57.9
2017-03-17,,USC,USC,66,,,77.6,94.2,SMU,SMU,65,11.0,85.8,39.0
2017-03-17,,New Mexico State,NMSU,73,,,73.0,55.7,Baylor,BAY,91,13.9,91.0,71.4
2017-03-17,,Troy,TROY,65,,,69.9,56.0,Duke,DUKE,87,20.6,95.9,67.7
2017-03-17,,Iona,IONA,77,,,68.8,66.3,Oregon,ORE,93,19.8,95.5,56.8
2017-03-17,,Kent State,KENT,80,,,68.5,63.5,UCLA,UCLA,97,21.3,95.5,60.0
2017-03-17,,Jacksonville State,JVST,63,,,67.4,66.5,Louisville,LOU,78,22.5,97.6,52.3
2017-03-17,,Texas Southern,TXSO,64,,,67.1,47.1,North Carolina,UNC,103,27.9,98.4,70.2
2017-03-17,,Northern Kentucky,NKU,70,,,66.6,71.9,Kentucky,UK,79,24.2,97.0,46.6
2017-03-17,,UC Davis,UCD,62,,,62.8,48.4,Kansas,KU,100,27.3,98.3,64.8
2017-03-18,,Virginia,UVA,39,,,98.5,37.7,Florida,FLA,65,0.5,52.1,99.5
2017-03-18,,Iowa State,ISU,76,,,93.6,56.9,Purdue,PUR,80,3.1,61.5,80.5
2017-03-18,,Saint Mary's,SMC,60,2.8,62.5,92.6,42.8,Arizona,ARIZ,69,,,94.2
2017-03-18,,Notre Dame,ND,71,,,90.1,49.8,West Virginia,WVU,83,4.9,67.7,87.4
2017-03-18,,Wisconsin,WIS,65,,,86.3,93.0,Villanova,NOVA,62,6.9,76.9,44.4
2017-03-18,,Xavier,XAV,91,,,85.6,99.2,Florida State,FSU,66,6.1,71.2,35.9
2017-03-18,,Middle Tennessee,MTSU,65,,,85.2,52.6,Butler,BUT,74,4.7,69.1,81.8
2017-03-18,,Northwestern,NW,73,,,79.4,68.2,Gonzaga,GONZ,79,14.4,90.2,66.7
2017-03-19,,Wichita State,WICH,62,,,95.9,55.2,Kentucky,UK,65,2.6,58.9,81.8
